User Input,Chatbot Response,Timestamp
hey,Hey,2025-03-11 23:12:14
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-11 23:12:21
hello,Nothing much,2025-03-11 23:12:41
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-11 23:14:22
hey,Nothing much,2025-03-11 23:16:07
hi,Hey,2025-03-11 23:18:16
how are u ,I am a chatbot,2025-03-11 23:18:46
how are you,My purpose is to assist you,2025-03-11 23:19:06
how are u,My purpose is to assist you,2025-03-11 23:19:18
hr,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-11 23:25:16
